"player_stats_id","player_fifa_api_id.x","player_api_id","date","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","id","player_name","player_fifa_api_id.y","birthday","height","weight","image_url"
102483,158023,30981,"2015-12-17 00:00:00",94,94,"left","medium","low",80,93,71,88,85,96,89,90,79,96,95,90,92,92,95,80,68,75,59,88,48,22,90,90,74,13,23,21,6,11,15,14,8,6176,"Lionel Messi",158023,"1987-06-24 00:00:00",170.18,159,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
33331,20801,30893,"2015-10-16 00:00:00",93,93,"right","high","low",82,95,86,81,87,93,88,77,72,91,91,93,90,92,62,94,94,90,79,93,62,29,93,81,85,22,31,23,7,11,15,14,11,1995,"Cristiano Ronaldo",20801,"1985-02-05 00:00:00",185.42,176,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
105984,176580,40636,"2015-10-16 00:00:00",90,90,"right","high","medium",77,90,77,82,87,88,86,84,64,91,88,78,86,91,60,88,69,88,76,85,78,41,91,84,85,30,45,38,27,25,31,33,37,6377,"Luis Suarez",176580,"1987-01-24 00:00:00",182.88,187,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
109034,167495,27299,"2016-04-21 00:00:00",90,90,"right","medium","medium",15,13,25,48,11,16,14,11,47,31,58,61,43,87,35,25,78,44,83,16,29,30,12,70,37,10,10,11,85,87,91,90,87,6556,"Manuel Neuer",167495,"1986-03-27 00:00:00",193.04,203,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
131465,190871,19533,"2016-02-04 00:00:00",90,94,"right","high","medium",72,88,62,78,83,94,78,79,74,93,91,90,92,86,84,78,61,79,45,73,56,36,89,79,81,21,24,33,9,9,15,15,11,7867,"Neymar",190871,"1992-02-05 00:00:00",175.26,150,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
16461,9014,30834,"2016-01-28 00:00:00",89,89,"left","high","low",80,85,51,85,86,93,86,83,73,90,90,90,91,91,91,86,61,73,65,90,47,39,88,84,80,29,26,26,10,8,11,5,15,951,"Arjen Robben",9014,"1984-01-23 00:00:00",180.34,176,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
183673,41236,35724,"2015-09-21 00:00:00",89,89,"right","medium","low",76,90,76,84,92,87,80,80,76,90,72,74,86,85,41,93,72,75,93,88,84,20,86,83,91,15,41,27,13,15,10,9,12,11057,"Zlatan Ibrahimovic",41236,"1981-10-03 00:00:00",195.58,209,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
12774,41,30955,"2015-10-16 00:00:00",88,88,"right","high","medium",79,73,54,92,74,90,80,70,86,92,76,75,83,88,87,65,54,64,59,74,58,68,85,92,71,57,57,56,6,13,6,13,7,742,"Andres Iniesta",41,"1984-05-11 00:00:00",170.18,150,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
47248,183277,107417,"2016-01-28 00:00:00",88,90,"right","high","medium",80,81,57,85,79,94,82,79,82,90,93,87,92,86,90,79,59,74,63,82,54,41,84,86,86,25,27,22,11,12,6,8,8,2838,"Eden Hazard",183277,"1991-01-07 00:00:00",172.72,163,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
122442,176635,36378,"2016-02-18 00:00:00",88,89,"left","medium","low",80,75,54,89,77,86,84,79,84,90,77,68,84,87,70,70,52,64,56,76,54,24,84,93,76,22,16,19,6,14,10,6,14,7327,"Mesut Oezil",176635,"1988-10-15 00:00:00",182.88,168,https://imgresizer.eurosport.com/unsafe/1200x0/filters:format(jpeg):focal(1198x249:1200x247)/origin-imgresizer.eurosport.com/2023/01/18/3528928-71925728-2560-1440.jpg
